mix,song1_index,song2_index,song1_title,song2_title,tempo_1,spectral_centroid_1,spectral_bandwidth_1,zero_crossing_rate_1,mfcc_1_1,mfcc_2_1,mfcc_3_1,mfcc_4_1,mfcc_5_1,mfcc_6_1,mfcc_7_1,mfcc_8_1,mfcc_9_1,mfcc_10_1,mfcc_11_1,mfcc_12_1,mfcc_13_1,tempo_2,spectral_centroid_2,spectral_bandwidth_2,zero_crossing_rate_2,mfcc_1_2,mfcc_2_2,mfcc_3_2,mfcc_4_2,mfcc_5_2,mfcc_6_2,mfcc_7_2,mfcc_8_2,mfcc_9_2,mfcc_10_2,mfcc_11_2,mfcc_12_2,mfcc_13_2
50,23,24,"id='Z8NokNkrlOQ' title='+ Ed Rush, Optical & Fierce - Alien Girl [Prototype]'",id='RCfONkq0h2k' title='Bad Company - Sentient [BC]',86.1328125,2914.61345593401,2839.7913978854253,0.1286206818002929,-88.35947,65.788605,26.073202,28.281855,9.256503,11.778053,6.4950123,5.844858,0.8373215,4.6478996,-0.72837454,6.405391,-3.6656363,117.45383522727272,2639.364231507579,2700.984867321373,0.1006139080762616,-31.813282,74.51877,5.521953,23.126614,12.169262,19.708046,-0.51005006,7.457127,3.7640507,6.0598536,0.22165728,5.324739,-2.0629125
50,24,25,id='RCfONkq0h2k' title='Bad Company - Sentient [BC]',id='q_3L-zE6aMw' title='Kraken - Side Effects [Underfire]',117.45383522727272,2639.364231507579,2700.984867321373,0.1006139080762616,-31.813282,74.51877,5.521953,23.126614,12.169262,19.708046,-0.51005006,7.457127,3.7640507,6.0598536,0.22165728,5.324739,-2.0629125,86.1328125,2409.724211188166,2638.783217540429,0.0886222975551988,-61.93879,88.40463,8.425282,25.40556,-2.3127804,10.958058,3.4185598,13.615344,-3.368295,6.9114413,-2.3467076,6.694871,-4.689029
51,0,1,id='ojYsJi0q6ko' title='Ryme Tyme & Trace - Move (VIP) [1210]',id='McHfTlXc8XU' title='Capone - Friday [Hardleaders]',86.1328125,2860.617485654836,2720.732896990544,0.1133152540105876,-68.641716,71.87234,-4.0076575,18.237535,5.8267474,11.525394,1.3709462,8.670218,3.5294266,10.800305,2.387521,7.629302,0.38812882,86.1328125,3227.8693073317754,3035.891072918904,0.0987290546967346,-74.92382,40.048653,26.416624,22.500803,14.956758,18.355026,7.869018,22.341282,0.65822846,5.8301196,-2.6210902,8.228654,2.7880528
51,1,2,id='McHfTlXc8XU' title='Capone - Friday [Hardleaders]',id='KIGXGkzjAoc' title='Bad Company - The Nine [BC]',86.1328125,3227.8693073317754,3035.891072918904,0.0987290546967346,-74.92382,40.048653,26.416624,22.500803,14.956758,18.355026,7.869018,22.341282,0.65822846,5.8301196,-2.6210902,8.228654,2.7880528,86.1328125,2495.100137863434,2487.764032717057,0.0931302922698716,-79.24617,81.96597,-16.775171,10.961549,14.485754,20.369041,6.4207296,15.972545,13.789768,6.6957364,-0.7015983,14.3788595,2.8386788
51,2,3,id='KIGXGkzjAoc' title='Bad Company - The Nine [BC]',id='Mbg4UUBF9fE' title='Jonny L - Selecta [Piranha]',86.1328125,2495.100137863434,2487.764032717057,0.0931302922698716,-79.24617,81.96597,-16.775171,10.961549,14.485754,20.369041,6.4207296,15.972545,13.789768,6.6957364,-0.7015983,14.3788595,2.8386788,86.1328125,2676.5055531103576,2652.770258196545,0.1239097661799776,-110.316574,70.82012,-15.54129,14.893916,10.727418,20.56749,-1.0363988,17.327398,-0.6456185,12.6160755,-2.4537125,14.266778,-4.856475
51,3,4,id='Mbg4UUBF9fE' title='Jonny L - Selecta [Piranha]',id='GWIAXuOtqNE' title='Roni Size & Krust - Hop Scotch [Full Cycle]',86.1328125,2676.5055531103576,2652.770258196545,0.1239097661799776,-110.316574,70.82012,-15.54129,14.893916,10.727418,20.56749,-1.0363988,17.327398,-0.6456185,12.6160755,-2.4537125,14.266778,-4.856475,86.1328125,2745.220633339965,2884.8956552003874,0.0982591886930448,-46.428963,59.76726,31.86453,47.16831,9.6538,21.488192,6.398799,5.3180566,0.35806972,-0.09253526,0.1976762,5.0001817,-4.271522
51,4,5,id='GWIAXuOtqNE' title='Roni Size & Krust - Hop Scotch [Full Cycle]',id='I7_aR5cGOB8' title='Jagged Edge - Rock Baby [V]',86.1328125,2745.220633339965,2884.8956552003874,0.0982591886930448,-46.428963,59.76726,31.86453,47.16831,9.6538,21.488192,6.398799,5.3180566,0.35806972,-0.09253526,0.1976762,5.0001817,-4.271522,86.1328125,3394.300628194431,3210.921482004136,0.1492622861382681,-38.45496,60.958023,30.889297,12.334598,12.976043,8.164465,2.0345912,5.7682605,-0.755202,3.1568336,-2.4768424,-0.69161147,-3.9001884
51,5,6,id='I7_aR5cGOB8' title='Jagged Edge - Rock Baby [V]',id='sgcolBv-dVo' title='Breakbeat Era - Our Disease Tera [XL]',86.1328125,3394.300628194431,3210.921482004136,0.1492622861382681,-38.45496,60.958023,30.889297,12.334598,12.976043,8.164465,2.0345912,5.7682605,-0.755202,3.1568336,-2.4768424,-0.69161147,-3.9001884,117.45383522727272,3209.605418880695,2844.4033191240733,0.1396621073379261,-9.498304,48.12934,12.93119,41.080555,2.0522985,12.063984,-1.8365711,7.7774444,-1.5418693,3.1727302,1.2890165,4.6792507,-2.708948
51,6,7,id='sgcolBv-dVo' title='Breakbeat Era - Our Disease Tera [XL]',id='p8N5iNvR-J0' title='DJ Reality - Detroit Blues [Renegade Hardware]',117.45383522727272,3209.605418880695,2844.4033191240733,0.1396621073379261,-9.498304,48.12934,12.93119,41.080555,2.0522985,12.063984,-1.8365711,7.7774444,-1.5418693,3.1727302,1.2890165,4.6792507,-2.708948,89.10290948275862,2971.256811609039,2695.8137674519458,0.1349747656205643,-69.45433,55.31036,-0.14985646,29.468824,11.905397,17.943542,-0.043948375,5.3116703,-4.8458505,7.7102604,-2.7711987,4.658344,-5.7987857
51,7,10,id='p8N5iNvR-J0' title='DJ Reality - Detroit Blues [Renegade Hardware]',id='Q6HpTrmwnhQ' title='Roni Size - Snapshot [Full Cycle]',89.10290948275862,2971.256811609039,2695.8137674519458,0.1349747656205643,-69.45433,55.31036,-0.14985646,29.468824,11.905397,17.943542,-0.043948375,5.3116703,-4.8458505,7.7102604,-2.7711987,4.658344,-5.7987857,172.265625,2843.8230770830487,2800.364810723161,0.1241735644442766,-95.99266,71.42547,29.913912,39.414204,9.868639,14.33491,2.178771,2.856438,-5.8016357,5.3111,-11.734165,4.0608435,-8.0115385
